Species,Scientific name,Acacia category,Flower colour label,Flower visibility / usefulness,Leaf-shed extent,Fruit / pod notes,Areas observed,Tree Count
Amaltas,Cassia fistula,No,Yellow,Very high,Very high,Very dramatic beautiful transitions,"MITTAL, SIT, Area 1, Area 3, Sanjay Van S1",28
Amla,Phyllanthus emblica,"No, but could get confused with acacia due to its small leaves",NA,No,Deciduous / partly leafless,,Area 2,2
Anjan,,No,NA,No,,,Area 4,1
Arjun,Terminalia arjuna,No,NA,No,Very high,,"SIT, Area 3, Area 4",5
Ashok,,No,NA,No,Evergreen,,"MITTAL, SIT, Area 1, Area 2, Area 3, Area 4",35
Bakain,Melia azedarach,No,Purple,Possibly. Small flowers,Very high,,"Area 1, Area 3",3
Bamboo clump,,No,NA,No,Evergreen,,"Area 2, Sanjay Van S1, Sanjay Van S4",4
Banana,Musa spp.,No,NA,No,Evergreen,,Area 4,1
Banyan,Ficus benghalensis,No,Leaves go from red -> green,Leaves visibility high,Evergreen,,"Area 1, Area 2, Area 3, Area 4, Sanjay Van S3, Sanjay Van S4",17
Bel,Aegle marmelos,No,NA,No,Deciduous / partly leafless,,Area 4,2
Bottlebrush,Callistemon / Melaleuca spp.,No,Red,No,Evergreen,,Area 1,2
Buddha's Coconut,Pterygota alata,No,NA,No,Deciduous,,SIT,6
Caribbean trumpet,Tabebuia / Handroanthus spp.,No,Yellow,Very high,Deciduous,Very dramatic beautiful transitions,SIT,6
Cassia,Cassia / Senna spp.,No,Red/pink,No,,,"Area 3, Area 4",2
Chamrod,Ehretia laevis,No,White,No,Deciduous,,SIT,2
Chir pine,Pinus roxburghii,No,NA,No,Evergreen,,Area 1,1
Chukrasia,Chukrasia tabularis,No,Leaves are a mix of red and green,Perhaps visible,Evergreen,,MITTAL,1
Frangipani,Plumeria spp.,No,White,No,Evergreen,,"MITTAL, SIT",3
Goolar,Ficus racemosa,No,NA,No,Partly leafless / deciduous,,Area 2,3
Gulmohar,Delonix regia,"No, but could get confused with acacia due to its small leaves",Red,Very high,Very high,Very dramatic beautiful transitions,"Area 1, Area 2, Area 4, Area 5",7
Imli,Tamarindus indica,"No, but could get confused with acacia due to its small leaves",NA,No,Very high,,Area 2,2
Jamun,Syzygium cumini,No,NA,No,Evergreen,,"MITTAL, Area 2, Area 3, Area 4",9
Kachnar,Bauhinia variegata,No,White/pink,Very high,Very high,Very dramatic beautiful transitions,SIT,5
Karanj,Pongamia pinnata,No,White,No,Deciduous,,"SIT, Sanjay Van S4",6
Kasod,senna siamea,No,NA,No,Deciduous,,"Area 1, Area 3, Area 4",13
Mahneem,,No,NA,No,Thins out a lot,,"MITTAL, SIT, Area 2, Area 4",7
Marodphali,,No,NA,No,Very high,,SIT,14
Mango,Mangifera indica,No,NA,No,This out somewhat,,"Area 3, Area 4",5
Maulsari,Mimusops elengi,No,NA,No,Evergreen,,"SIT, Area 1, Area 2, Area 4",17
Moringa,Moringa oleifera,"No, but could get confused with acacia due to its small leaves",White,No,Very high,,Area 3,1
Native acacia,Acacia / Vachellia spp.,Yes,Brown pods,Likely,Very high,,"Area 1, Sanjay Van S3",2
Neem,Azadirachta indica,No,Yellow,No,This out somewhat,,"MITTAL, SIT, Area 1, Area 2, Area 3, Area 4, Area 5, Sanjay Van S1, Sanjay Van S2, Sanjay Van S3",58
Palash,Butea monosperma,No,Red/Orange,Very high,This out somewhat,Very dramatic beautiful transitions,SIT,1
Palm tree,,No,NA,No,Evergreen,,SIT,1
Peepal,Ficus religiosa,No,Leaves go from red -> green,Leaves visibility high,Very high,Very dramatic beautiful transitions,"MITTAL, SIT, Area 2, Area 3, Area 4, Area 5, Sanjay Van S2, Sanjay Van S3, Sanjay Van S4",28
Pilkhan,Ficus virens / Ficus infectoria,No,Leaves go from bronze -> bright green -> green,Leaves visibility high,Deciduous / goes leafless then flushes,Very dramatic beautiful transitions,"MITTAL, SIT, Area 1, Area 2, Area 3, Area 4",26
Saptparni,Alstonia scholaris,No,NA,No,Evergreen,,"Area 1, Area 3, Area 4",13
Sausage tree,Kigelia africana,No,Red,No,Evergreen,,"Area 2, Area 3",2
Semal,Bombax ceiba,No,Red/Orange,Very high,Very high,,"SIT, Area 1, Area 3, Area 4",4
Shahtoot,Morus spp.,No,NA,No,Deciduous,,"Area 2, Area 3, Area 4",9
Sheesham,Dalbergia sissoo,No,Brown pods,Very high,Very high,Very dramatic beautiful transitions,"Area 1, Area 2, Area 4",6
Siris,Albizia lebbeck,No,Leafless -> brown pods -> yellow flower and green leaves,Very high,Very high,Very dramatic beautiful transitions,"MITTAL, SIT, Area 1, Area 3, Area 4",8
Kanju,Holoptelea integrifolia,No,,,Observed leaf shed,,Sanjay Van S1,1
Prosopis Juliflora,Prosopis juliflora,Yes,NA,Small / not useful for colour label,Mostly evergreen / can show partial leaf shed,Pods,"Sanjay Van S1, Sanjay Van S2, Sanjay Van S3, Sanjay Van S4",53
Subabool,Leucaena leucocephala,Yes,White,Small / puffball-type; not useful for colour label,Partially leafless / observed leaf shed,Pods,"Sanjay Van S1, Sanjay Van S2",3
Teak,Tectona grandis,No,White,Small / not useful for colour label,Deciduous / leafless in dry season,,Sanjay Van S1,2