regime,split,holdout,seed,model,n_train,n_test,crown_bal_acc,crown_f1,crown_cm,pixel_bal_acc,pixel_f1,pixel_cm
baseline,random,n/a,42,rf_balanced,253,109,0.867,0.7692,"[[85, 5], [4, 15]]",0.8421,0.8125,"[[90, 0], [6, 13]]"
baseline,random,n/a,42,extra_trees,253,109,0.9404,0.8372,"[[84, 6], [1, 18]]",0.8781,0.8108,"[[87, 3], [4, 15]]"
augmented,random,n/a,42,rf_balanced,2324,109,0.8421,0.8125,"[[90, 0], [6, 13]]",0.5526,0.1905,"[[90, 0], [17, 2]]"
augmented,random,n/a,42,extra_trees,2324,109,0.9363,0.8947,"[[88, 2], [2, 17]]",0.8365,0.7879,"[[89, 1], [6, 13]]"
baseline,leave_area_out,SV_S1,42,rf_balanced,325,37,0.6384,0.5806,"[[15, 6], [7, 9]]",0.6012,0.381,"[[20, 1], [12, 4]]"
baseline,leave_area_out,SV_S1,42,extra_trees,325,37,0.5982,0.5714,"[[12, 9], [6, 10]]",0.6235,0.5185,"[[17, 4], [9, 7]]"
augmented,leave_area_out,SV_S1,42,rf_balanced,2396,37,0.5938,0.3158,"[[21, 0], [13, 3]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,42,extra_trees,2396,37,0.625,0.4,"[[21, 0], [12, 4]]",0.5312,0.1176,"[[21, 0], [15, 1]]"
baseline,leave_area_out,SV_S2,42,rf_balanced,344,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.3333,0.0,"[[6, 3], [9, 0]]"
baseline,leave_area_out,SV_S2,42,extra_trees,344,18,0.6667,0.6667,"[[6, 3], [3, 6]]",0.6111,0.5882,"[[6, 3], [4, 5]]"
augmented,leave_area_out,SV_S2,42,rf_balanced,2415,18,0.5,0.0,"[[9, 0], [9, 0]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,42,extra_trees,2415,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.4444,0.1667,"[[7, 2], [8, 1]]"
baseline,leave_area_out,SV_S4,42,rf_balanced,334,28,0.8,0.75,"[[8, 0], [8, 12]]",0.525,0.0952,"[[8, 0], [19, 1]]"
baseline,leave_area_out,SV_S4,42,extra_trees,334,28,0.775,0.8421,"[[6, 2], [4, 16]]",0.75,0.6667,"[[8, 0], [10, 10]]"
augmented,leave_area_out,SV_S4,42,rf_balanced,2405,28,0.825,0.7879,"[[8, 0], [7, 13]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,42,extra_trees,2405,28,0.9,0.8889,"[[8, 0], [4, 16]]",0.825,0.7879,"[[8, 0], [7, 13]]"
baseline,leave_area_out,SV_S3,42,rf_balanced,337,25,0.8162,0.8824,"[[6, 2], [2, 15]]",0.7941,0.7407,"[[8, 0], [7, 10]]"
baseline,leave_area_out,SV_S3,42,extra_trees,337,25,0.7206,0.8649,"[[4, 4], [1, 16]]",0.9412,0.9375,"[[8, 0], [2, 15]]"
augmented,leave_area_out,SV_S3,42,rf_balanced,2408,25,0.8235,0.7857,"[[8, 0], [6, 11]]",0.5,0.0,"[[8, 0], [17, 0]]"
augmented,leave_area_out,SV_S3,42,extra_trees,2408,25,0.8493,0.875,"[[7, 1], [3, 14]]",0.8199,0.8387,"[[7, 1], [4, 13]]"
baseline,random,n/a,43,rf_balanced,253,109,0.8406,0.7368,"[[85, 5], [5, 14]]",0.831,0.7647,"[[88, 2], [6, 13]]"
baseline,random,n/a,43,extra_trees,253,109,0.8462,0.7568,"[[86, 4], [5, 14]]",0.8254,0.7429,"[[87, 3], [6, 13]]"
augmented,random,n/a,43,rf_balanced,2324,109,0.8047,0.7273,"[[88, 2], [7, 12]]",0.5526,0.1905,"[[90, 0], [17, 2]]"
augmented,random,n/a,43,extra_trees,2324,109,0.831,0.7647,"[[88, 2], [6, 13]]",0.8047,0.7273,"[[88, 2], [7, 12]]"
baseline,leave_area_out,SV_S1,43,rf_balanced,325,37,0.5506,0.5405,"[[10, 11], [6, 10]]",0.6548,0.5714,"[[17, 4], [8, 8]]"
baseline,leave_area_out,SV_S1,43,extra_trees,325,37,0.5268,0.5263,"[[9, 12], [6, 10]]",0.6235,0.5185,"[[17, 4], [9, 7]]"
augmented,leave_area_out,SV_S1,43,rf_balanced,2396,37,0.5938,0.3158,"[[21, 0], [13, 3]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,43,extra_trees,2396,37,0.625,0.4,"[[21, 0], [12, 4]]",0.5312,0.1176,"[[21, 0], [15, 1]]"
baseline,leave_area_out,SV_S2,43,rf_balanced,344,18,0.5556,0.5,"[[6, 3], [5, 4]]",0.3889,0.1538,"[[6, 3], [8, 1]]"
baseline,leave_area_out,SV_S2,43,extra_trees,344,18,0.6667,0.6667,"[[6, 3], [3, 6]]",0.5556,0.5,"[[6, 3], [5, 4]]"
augmented,leave_area_out,SV_S2,43,rf_balanced,2415,18,0.5,0.0,"[[9, 0], [9, 0]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,43,extra_trees,2415,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.5556,0.2,"[[9, 0], [8, 1]]"
baseline,leave_area_out,SV_S4,43,rf_balanced,334,28,0.775,0.7097,"[[8, 0], [9, 11]]",0.6,0.3333,"[[8, 0], [16, 4]]"
baseline,leave_area_out,SV_S4,43,extra_trees,334,28,0.85,0.8235,"[[8, 0], [6, 14]]",0.75,0.6667,"[[8, 0], [10, 10]]"
augmented,leave_area_out,SV_S4,43,rf_balanced,2405,28,0.8,0.75,"[[8, 0], [8, 12]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,43,extra_trees,2405,28,0.875,0.8571,"[[8, 0], [5, 15]]",0.8,0.75,"[[8, 0], [8, 12]]"
baseline,leave_area_out,SV_S3,43,rf_balanced,337,25,0.8456,0.9143,"[[6, 2], [1, 16]]",0.8235,0.7857,"[[8, 0], [6, 11]]"
baseline,leave_area_out,SV_S3,43,extra_trees,337,25,0.8456,0.9143,"[[6, 2], [1, 16]]",0.8493,0.875,"[[7, 1], [3, 14]]"
augmented,leave_area_out,SV_S3,43,rf_balanced,2408,25,0.8235,0.7857,"[[8, 0], [6, 11]]",0.5,0.0,"[[8, 0], [17, 0]]"
augmented,leave_area_out,SV_S3,43,extra_trees,2408,25,0.8787,0.9091,"[[7, 1], [2, 15]]",0.8824,0.8667,"[[8, 0], [4, 13]]"
baseline,random,n/a,44,rf_balanced,253,109,0.8614,0.75,"[[84, 6], [4, 15]]",0.8365,0.7879,"[[89, 1], [6, 13]]"
baseline,random,n/a,44,extra_trees,253,109,0.8766,0.7442,"[[82, 8], [3, 16]]",0.867,0.7692,"[[85, 5], [4, 15]]"
augmented,random,n/a,44,rf_balanced,2324,109,0.7576,0.6667,"[[89, 1], [9, 10]]",0.5263,0.1,"[[90, 0], [18, 1]]"
augmented,random,n/a,44,extra_trees,2324,109,0.8573,0.8,"[[88, 2], [5, 14]]",0.8102,0.75,"[[89, 1], [7, 12]]"
baseline,leave_area_out,SV_S1,44,rf_balanced,325,37,0.5982,0.5714,"[[12, 9], [6, 10]]",0.6161,0.48,"[[18, 3], [10, 6]]"
baseline,leave_area_out,SV_S1,44,extra_trees,325,37,0.5744,0.5556,"[[11, 10], [6, 10]]",0.5759,0.4828,"[[15, 6], [9, 7]]"
augmented,leave_area_out,SV_S1,44,rf_balanced,2396,37,0.5938,0.3158,"[[21, 0], [13, 3]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,44,extra_trees,2396,37,0.625,0.4,"[[21, 0], [12, 4]]",0.5625,0.2222,"[[21, 0], [14, 2]]"
baseline,leave_area_out,SV_S2,44,rf_balanced,344,18,0.5556,0.5,"[[6, 3], [5, 4]]",0.3333,0.0,"[[6, 3], [9, 0]]"
baseline,leave_area_out,SV_S2,44,extra_trees,344,18,0.6667,0.6667,"[[6, 3], [3, 6]]",0.6111,0.5882,"[[6, 3], [4, 5]]"
augmented,leave_area_out,SV_S2,44,rf_balanced,2415,18,0.3333,0.0,"[[6, 3], [9, 0]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,44,extra_trees,2415,18,0.5,0.4,"[[6, 3], [6, 3]]",0.5,0.1818,"[[8, 1], [8, 1]]"
baseline,leave_area_out,SV_S4,44,rf_balanced,334,28,0.825,0.7879,"[[8, 0], [7, 13]]",0.575,0.2609,"[[8, 0], [17, 3]]"
baseline,leave_area_out,SV_S4,44,extra_trees,334,28,0.8375,0.8649,"[[7, 1], [4, 16]]",0.8,0.75,"[[8, 0], [8, 12]]"
augmented,leave_area_out,SV_S4,44,rf_balanced,2405,28,0.775,0.7097,"[[8, 0], [9, 11]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,44,extra_trees,2405,28,0.925,0.9189,"[[8, 0], [3, 17]]",0.825,0.7879,"[[8, 0], [7, 13]]"
baseline,leave_area_out,SV_S3,44,rf_balanced,337,25,0.7831,0.8889,"[[5, 3], [1, 16]]",0.8235,0.7857,"[[8, 0], [6, 11]]"
baseline,leave_area_out,SV_S3,44,extra_trees,337,25,0.875,0.9444,"[[6, 2], [0, 17]]",0.8787,0.9091,"[[7, 1], [2, 15]]"
augmented,leave_area_out,SV_S3,44,rf_balanced,2408,25,0.7647,0.6923,"[[8, 0], [8, 9]]",0.5,0.0,"[[8, 0], [17, 0]]"
augmented,leave_area_out,SV_S3,44,extra_trees,2408,25,0.8493,0.875,"[[7, 1], [3, 14]]",0.8199,0.8387,"[[7, 1], [4, 13]]"
