threshold,accuracy,balanced_accuracy,macro_f1,positive_recall,positive_precision,confusion_matrix,fold
0.1,0.9041095890410958,0.8975694444444444,0.8193708024036762,0.8888888888888888,0.5714285714285714,"[[58, 6], [1, 8]]",1
0.15,0.8904109589041096,0.8420138888888888,0.7859237536656891,0.7777777777777778,0.5384615384615384,"[[58, 6], [2, 7]]",1
0.2,0.8904109589041096,0.8420138888888888,0.7859237536656891,0.7777777777777778,0.5384615384615384,"[[58, 6], [2, 7]]",1
0.25,0.9041095890410958,0.8498263888888888,0.8053333333333332,0.7777777777777778,0.5833333333333334,"[[59, 5], [2, 7]]",1
0.3,0.9041095890410958,0.8498263888888888,0.8053333333333332,0.7777777777777778,0.5833333333333334,"[[59, 5], [2, 7]]",1
0.35,0.9041095890410958,0.8498263888888888,0.8053333333333332,0.7777777777777778,0.5833333333333334,"[[59, 5], [2, 7]]",1
0.4,0.9041095890410958,0.8498263888888888,0.8053333333333332,0.7777777777777778,0.5833333333333334,"[[59, 5], [2, 7]]",1
0.45,0.9178082191780822,0.8576388888888888,0.8261904761904761,0.7777777777777778,0.6363636363636364,"[[60, 4], [2, 7]]",1
0.5,0.9452054794520548,0.8255208333333333,0.8596153846153847,0.6666666666666666,0.8571428571428571,"[[63, 1], [3, 6]]",1
0.55,0.9041095890410958,0.6588541666666666,0.7044534412955465,0.3333333333333333,0.75,"[[63, 1], [6, 3]]",1
0.6,0.9041095890410958,0.6111111111111112,0.655892255892256,0.2222222222222222,1.0,"[[64, 0], [7, 2]]",1
0.65,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",1
0.7,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",1
0.75,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",1
0.8,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",1
0.85,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",1
0.9,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",1
0.1,0.8904109589041096,0.9375,0.8128205128205128,1.0,0.5294117647058824,"[[56, 8], [0, 9]]",2
0.15,0.9041095890410958,0.8975694444444444,0.8193708024036762,0.8888888888888888,0.5714285714285714,"[[58, 6], [1, 8]]",2
0.2,0.9041095890410958,0.8975694444444444,0.8193708024036762,0.8888888888888888,0.5714285714285714,"[[58, 6], [1, 8]]",2
0.25,0.9178082191780822,0.9053819444444444,0.8394428152492669,0.8888888888888888,0.6153846153846154,"[[59, 5], [1, 8]]",2
0.3,0.9315068493150684,0.9131944444444444,0.8609523809523809,0.8888888888888888,0.6666666666666666,"[[60, 4], [1, 8]]",2
0.35,0.9452054794520548,0.9210069444444444,0.8841269841269841,0.8888888888888888,0.7272727272727273,"[[61, 3], [1, 8]]",2
0.4,0.9178082191780822,0.8098958333333333,0.8098958333333333,0.6666666666666666,0.6666666666666666,"[[61, 3], [3, 6]]",2
0.45,0.9315068493150684,0.8177083333333333,0.833561331509348,0.6666666666666666,0.75,"[[62, 2], [3, 6]]",2
0.5,0.9178082191780822,0.7621527777777778,0.789423076923077,0.5555555555555556,0.7142857142857143,"[[62, 2], [4, 5]]",2
0.55,0.9178082191780822,0.7621527777777778,0.789423076923077,0.5555555555555556,0.7142857142857143,"[[62, 2], [4, 5]]",2
0.6,0.9178082191780822,0.7621527777777778,0.789423076923077,0.5555555555555556,0.7142857142857143,"[[62, 2], [4, 5]]",2
0.65,0.9041095890410958,0.7065972222222222,0.7399491094147583,0.4444444444444444,0.6666666666666666,"[[62, 2], [5, 4]]",2
0.7,0.8904109589041096,0.6510416666666666,0.683982683982684,0.3333333333333333,0.6,"[[62, 2], [6, 3]]",2
0.75,0.8767123287671232,0.5954861111111112,0.6200115673799884,0.2222222222222222,0.5,"[[62, 2], [7, 2]]",2
0.8,0.8904109589041096,0.6032986111111112,0.6368159203980099,0.2222222222222222,0.6666666666666666,"[[63, 1], [7, 2]]",2
0.85,0.8904109589041096,0.6032986111111112,0.6368159203980099,0.2222222222222222,0.6666666666666666,"[[63, 1], [7, 2]]",2
0.9,0.9041095890410958,0.6111111111111112,0.655892255892256,0.2222222222222222,1.0,"[[64, 0], [7, 2]]",2
0.1,0.7945205479452054,0.7873263888888888,0.6772767462422635,0.7777777777777778,0.35,"[[51, 13], [2, 7]]",3
0.15,0.821917808219178,0.8029513888888888,0.7046374105197635,0.7777777777777778,0.3888888888888889,"[[53, 11], [2, 7]]",3
0.2,0.8356164383561644,0.8107638888888888,0.7192307692307692,0.7777777777777778,0.4117647058823529,"[[54, 10], [2, 7]]",3
0.25,0.863013698630137,0.8263888888888888,0.7506830601092896,0.7777777777777778,0.4666666666666667,"[[56, 8], [2, 7]]",3
0.3,0.863013698630137,0.8263888888888888,0.7506830601092896,0.7777777777777778,0.4666666666666667,"[[56, 8], [2, 7]]",3
0.35,0.8767123287671232,0.8342013888888888,0.767762460233298,0.7777777777777778,0.5,"[[57, 7], [2, 7]]",3
0.4,0.8767123287671232,0.8342013888888888,0.767762460233298,0.7777777777777778,0.5,"[[57, 7], [2, 7]]",3
0.45,0.8904109589041096,0.8420138888888888,0.7859237536656891,0.7777777777777778,0.5384615384615384,"[[58, 6], [2, 7]]",3
0.5,0.8904109589041096,0.7942708333333333,0.7682539682539682,0.6666666666666666,0.5454545454545454,"[[59, 5], [3, 6]]",3
0.55,0.9178082191780822,0.8098958333333333,0.8098958333333333,0.6666666666666666,0.6666666666666666,"[[61, 3], [3, 6]]",3
0.6,0.9041095890410958,0.7543402777777778,0.7669858641130871,0.5555555555555556,0.625,"[[61, 3], [4, 5]]",3
0.65,0.9178082191780822,0.7621527777777778,0.789423076923077,0.5555555555555556,0.7142857142857143,"[[62, 2], [4, 5]]",3
0.7,0.9452054794520548,0.7777777777777778,0.8419913419913421,0.5555555555555556,1.0,"[[64, 0], [4, 5]]",3
0.75,0.9452054794520548,0.7777777777777778,0.8419913419913421,0.5555555555555556,1.0,"[[64, 0], [4, 5]]",3
0.8,0.9452054794520548,0.7777777777777778,0.8419913419913421,0.5555555555555556,1.0,"[[64, 0], [4, 5]]",3
0.85,0.9315068493150684,0.7222222222222222,0.7888953152111047,0.4444444444444444,1.0,"[[64, 0], [5, 4]]",3
0.9,0.8904109589041096,0.5555555555555556,0.5705882352941176,0.1111111111111111,1.0,"[[64, 0], [8, 1]]",3
0.1,0.9305555555555556,0.9603174603174602,0.8706431908012936,1.0,0.6428571428571429,"[[58, 5], [0, 9]]",4
0.15,0.9305555555555556,0.9603174603174602,0.8706431908012936,1.0,0.6428571428571429,"[[58, 5], [0, 9]]",4
0.2,0.9444444444444444,0.9682539682539683,0.8926974664679583,1.0,0.6923076923076923,"[[59, 4], [0, 9]]",4
0.25,0.9444444444444444,0.9206349206349206,0.8838709677419355,0.8888888888888888,0.7272727272727273,"[[60, 3], [1, 8]]",4
0.3,0.9444444444444444,0.9206349206349206,0.8838709677419355,0.8888888888888888,0.7272727272727273,"[[60, 3], [1, 8]]",4
0.35,0.9444444444444444,0.9206349206349206,0.8838709677419355,0.8888888888888888,0.7272727272727273,"[[60, 3], [1, 8]]",4
0.4,0.9305555555555556,0.8650793650793651,0.848421052631579,0.7777777777777778,0.7,"[[60, 3], [2, 7]]",4
0.45,0.9305555555555556,0.8174603174603174,0.8332561371005095,0.6666666666666666,0.75,"[[61, 2], [3, 6]]",4
0.5,0.9166666666666666,0.7619047619047619,0.7890625,0.5555555555555556,0.7142857142857143,"[[61, 2], [4, 5]]",4
0.55,0.9166666666666666,0.7619047619047619,0.7890625,0.5555555555555556,0.7142857142857143,"[[61, 2], [4, 5]]",4
0.6,0.9166666666666666,0.7142857142857142,0.7626373626373626,0.4444444444444444,0.8,"[[62, 1], [5, 4]]",4
0.65,0.9166666666666666,0.7142857142857142,0.7626373626373626,0.4444444444444444,0.8,"[[62, 1], [5, 4]]",4
0.7,0.9027777777777778,0.6587301587301587,0.7040516735173223,0.3333333333333333,0.75,"[[62, 1], [6, 3]]",4
0.75,0.9027777777777778,0.6111111111111112,0.6555023923444976,0.2222222222222222,1.0,"[[63, 0], [7, 2]]",4
0.8,0.9027777777777778,0.6111111111111112,0.6555023923444976,0.2222222222222222,1.0,"[[63, 0], [7, 2]]",4
0.85,0.9027777777777778,0.6111111111111112,0.6555023923444976,0.2222222222222222,1.0,"[[63, 0], [7, 2]]",4
0.9,0.9027777777777778,0.6111111111111112,0.6555023923444976,0.2222222222222222,1.0,"[[63, 0], [7, 2]]",4
0.1,0.875,0.9285714285714286,0.7948717948717949,1.0,0.5,"[[54, 9], [0, 9]]",5
0.15,0.8888888888888888,0.9365079365079365,0.8122555410691004,1.0,0.5294117647058824,"[[55, 8], [0, 9]]",5
0.2,0.8888888888888888,0.9365079365079365,0.8122555410691004,1.0,0.5294117647058824,"[[55, 8], [0, 9]]",5
0.25,0.8888888888888888,0.9365079365079365,0.8122555410691004,1.0,0.5294117647058824,"[[55, 8], [0, 9]]",5
0.3,0.9166666666666666,0.9523809523809523,0.85,1.0,0.6,"[[57, 6], [0, 9]]",5
0.35,0.9166666666666666,0.9523809523809523,0.85,1.0,0.6,"[[57, 6], [0, 9]]",5
0.4,0.9166666666666666,0.9523809523809523,0.85,1.0,0.6,"[[57, 6], [0, 9]]",5
0.45,0.9166666666666666,0.9523809523809523,0.85,1.0,0.6,"[[57, 6], [0, 9]]",5
0.5,0.9305555555555556,0.9603174603174602,0.8706431908012936,1.0,0.6428571428571429,"[[58, 5], [0, 9]]",5
0.55,0.9722222222222222,0.9841269841269842,0.9419354838709677,1.0,0.8181818181818182,"[[61, 2], [0, 9]]",5
0.6,0.9722222222222222,0.9365079365079365,0.9365079365079365,0.8888888888888888,0.8888888888888888,"[[62, 1], [1, 8]]",5
0.65,0.9722222222222222,0.9365079365079365,0.9365079365079365,0.8888888888888888,0.8888888888888888,"[[62, 1], [1, 8]]",5
0.7,0.9722222222222222,0.8888888888888888,0.9296875,0.7777777777777778,1.0,"[[63, 0], [2, 7]]",5
0.75,0.9444444444444444,0.7777777777777778,0.8417582417582418,0.5555555555555556,1.0,"[[63, 0], [4, 5]]",5
0.8,0.9305555555555556,0.7222222222222222,0.7886083382266589,0.4444444444444444,1.0,"[[63, 0], [5, 4]]",5
0.85,0.9305555555555556,0.7222222222222222,0.7886083382266589,0.4444444444444444,1.0,"[[63, 0], [5, 4]]",5
0.9,0.9305555555555556,0.7222222222222222,0.7886083382266589,0.4444444444444444,1.0,"[[63, 0], [5, 4]]",5
